id;name;type
3202291007;SIRNARASA;Desa
3202201001;SIRNARESMI;Desa
3202290012;SIRNARESMI;Desa
3202030016;SIRNASARI;Desa
3202090005;SIRNASARI;Desa
3202180004;SUDAJAYA GIRANG;Desa
3202211007;SUKADAMAI;Desa
3202120009;SUKAHARJA;Desa
3202041004;SUKAJADI;Desa
3202090001;SUKAJAYA;Desa
3202180003;SUKAJAYA;Desa
3202250002;SUKAKERSA;Desa
3202173005;SUKALARANG;Desa
3202050004;SUKALUYU;Desa
3202041003;SUKAMAJU;Desa
3202140001;SUKAMAJU;Desa
3202150007;SUKAMAJU;Desa
3202173006;SUKAMAJU;Desa
3202190007;SUKAMAJU;Desa
3202291003;SUKAMAJU;Desa
3202041006;SUKAMANAH;Desa
3202160002;SUKAMANAH;Desa
3202200011;SUKAMANAH;Desa
3202190004;SUKAMANIS;Desa
3202200010;SUKAMANTRI;Desa
3202170014;SUKAMEKAR;Desa
3202021003;SUKAMUKTI;Desa
3202140009;SUKAMULYA;Desa
3202212007;SUKAMULYA;Desa
3202170013;SUKARAJA;Desa
3202290018;SUKARAME;Desa
3202200019;SUKARESMI;Desa
3202200017;SUKASARI;Desa
3202210013;SUKASIRNA;Desa
3202030017;SUKATANI;Desa
3202250001;SUKATANI;Desa
3202060001;SUMBERJAYA;Desa
3202260003;SUNDAWENANG;Desa
3202212003;TALAGA;Desa
3202031006;TALAGAMURNI;Desa
3202010003;TAMANJAYA;Desa
3202280011;TAMANSARI;Desa
3202240005;TANGKIL;Desa
3202040007;TANJUNG;Desa
3202082003;TANJUNGSARI;Desa
3202130017;TANJUNGSARI;Desa
3202120010;TARISI;Desa
3202060003;TEGALBULEUD;Desa
3202070005;TEGALLEGA;Desa
3202100004;TEGALLEGA;Desa
3202172005;TEGALPANJANG;Desa
3202230011;TENJOAYU;Desa
3202210002;TENJOJAYA;Desa
3202081005;TENJOLAUT;Desa
3202230007;TENJOLAYA;Desa
3202173003;TITISAN;Desa
3202110012;TONJONG;Desa
3202300002;TUGUBANDUNG;Desa
3202120006;UBRUG;Desa
3202020008;UJUNG GENTENG;Desa
3202190009;UNDRUS BINANGUN;Desa
3202270001;WALANGSARI;Desa
3202021002;WALURAN;Desa
3202021005;WALURAN MANDIRI;Desa
3202290020;WANAJAYA;Desa
3202030015;WANASARI;Desa
3202221004;WANGUNJAYA;Desa
3202150008;WANGUNREJA;Desa
3202290019;WANGUNSARI;Desa
3202210012;WARNAJATI;Desa
3202180002;WARNASARI;Desa
3202120008;WARUNGKIARA;Desa
