id;kode;nama;jenis_opd_id
326;3202050007;MEKARWANGI;4
327;3202190001;MUARADUA;4
328;3202221001;MUNJUL;4
329;3202200012;NAGRAK;4
330;3202220003;NAGRAK SELATAN;4
331;3202220004;NAGRAK UTARA;4
332;3202082007;NAGRAKJAYA;4
333;3202040005;NAGRAKSARI;4
334;3202060006;NANGELA;4
335;3202130011;NANGERANG;4
336;3202230010;NANGGERANG;4
337;3202280007;NANGKAKONENG;4
338;3202100005;NEGLASARI;4
339;3202131001;NEGLASARI;4
340;3202150009;NEGLASARI;4
341;3202210001;NEGLASARI;4
342;3202150002;NYALINDUNG;4
343;3202230002;NYANGKOWEK;4
344;3202090003;PABUARAN;4
345;3202200007;PADAASIH;4
346;3202130018;PADABEUNGHAR;4
347;3202040008;PADAJAYA;4
348;3202081003;PADASENANG;4
349;3202131005;PAGELARAN;4
350;3202270002;PALASARI GIRANG;4
351;3202260002;PALASARI HILIR;4
352;3202210014;PAMURUYAN;4
353;3202280008;PANGKALAN;4
354;3202020007;PANGUMBAHAN;4
355;3202130015;PANUMBANGAN;4
356;3202140003;PARAKANLIMA;4
357;3202250006;PARAKANSALAK;4
358;3202260004;PARUNGKUDA;4
359;3202180001;PARUNGSEAH;4
360;3202080007;PASANGGRAHAN;4
361;3202230008;PASAWAHAN;4
362;3202290001;PASIRBARU;4
363;3202212009;PASIRDATAR INDAH;4
364;3202240002;PASIRDOTON;4
365;3202170012;PASIRHALANG;4
366;3202030001;PASIRIPIS;4
367;3202020005;PASIRPANJANG;4
368;3202110011;PASIRSUREN;4
369;3202220009;PAWENANG;4
370;3202180006;PERBAWATI;4
371;3202260011;PONDOK KASO LANDEUH;4
372;3202240001;PONDOK KASO TENGAH;4
373;3202240003;PONDOK KASO TONGGOH;4
374;3202173002;PRIANGANJAYA;4
375;3202270007;PULOSARI;4
376;3202080019;PUNCAKMANGGIS;4
377;3202131004;PURABAYA;4
378;3202230003;PURWASARI;4
379;3202020003;PURWASEDAR;4
380;3202060005;RAMBAY;4
381;3202291005;RIDOGALIH;4
382;3202080010;SAGARANTEN;4
383;3202280001;SAMPORA;4
384;3202111007;SANGRAWAYANG;4
385;3202171001;SASAGARAN;4
386;3202050002;SEKARSARI;4
387;3202210003;SEKARWANGI;4
388;3202170018;SELAAWI;4
389;3202200016;SELAJAMBE;4
390;3202170011;SELAWANGI;4
391;3202173001;SEMPLAK;4
392;3202212006;SEUSEUPAN;4
393;3202010009;SIDAMULYA;4
394;3202080005;SINAR BENTANG;4
395;3202082004;SINDANGRAJA;4
396;3202130016;SINDANGRESMI;4
397;3202120004;SIRNAJAYA;4
398;3202060008;SIRNAMEKAR;4
399;3202291007;SIRNARASA;4
400;3202201001;SIRNARESMI;4
401;3202290012;SIRNARESMI;4
402;3202030016;SIRNASARI;4
403;3202090005;SIRNASARI;4
404;3202180004;SUDAJAYA GIRANG;4
405;3202211007;SUKADAMAI;4
406;3202120009;SUKAHARJA;4
407;3202041004;SUKAJADI;4
408;3202090001;SUKAJAYA;4
409;3202180003;SUKAJAYA;4
410;3202250002;SUKAKERSA;4
411;3202173005;SUKALARANG;4
412;3202050004;SUKALUYU;4
413;3202041003;SUKAMAJU;4
414;3202140001;SUKAMAJU;4
415;3202150007;SUKAMAJU;4
416;3202173006;SUKAMAJU;4
417;3202190007;SUKAMAJU;4
418;3202291003;SUKAMAJU;4
419;3202041006;SUKAMANAH;4
420;3202160002;SUKAMANAH;4
421;3202200011;SUKAMANAH;4
422;3202190004;SUKAMANIS;4
423;3202200010;SUKAMANTRI;4
424;3202170014;SUKAMEKAR;4
425;3202021003;SUKAMUKTI;4
426;3202140009;SUKAMULYA;4
427;3202212007;SUKAMULYA;4
428;3202170013;SUKARAJA;4
429;3202290018;SUKARAME;4
430;3202200019;SUKARESMI;4
431;3202200017;SUKASARI;4
432;3202210013;SUKASIRNA;4
433;3202030017;SUKATANI;4
434;3202250001;SUKATANI;4
435;3202060001;SUMBERJAYA;4
436;3202260003;SUNDAWENANG;4
437;3202212003;TALAGA;4
438;3202031006;TALAGAMURNI;4
439;3202010003;TAMANJAYA;4
440;3202280011;TAMANSARI;4
441;3202240005;TANGKIL;4
442;3202040007;TANJUNG;4
443;3202082003;TANJUNGSARI;4
444;3202130017;TANJUNGSARI;4
445;3202120010;TARISI;4
446;3202060003;TEGALBULEUD;4
447;3202070005;TEGALLEGA;4
448;3202100004;TEGALLEGA;4
449;3202172005;TEGALPANJANG;4
450;3202230011;TENJOAYU;4
451;3202210002;TENJOJAYA;4
452;3202081005;TENJOLAUT;4
453;3202230007;TENJOLAYA;4
454;3202173003;TITISAN;4
455;3202110012;TONJONG;4
456;3202300002;TUGUBANDUNG;4
457;3202120006;UBRUG;4
458;3202020008;UJUNG GENTENG;4
459;3202190009;UNDRUS BINANGUN;4
460;3202270001;WALANGSARI;4
461;3202021002;WALURAN;4
462;3202021005;WALURAN MANDIRI;4
463;3202290020;WANAJAYA;4
464;3202030015;WANASARI;4
465;3202221004;WANGUNJAYA;4
466;3202150008;WANGUNREJA;4
467;3202290019;WANGUNSARI;4
468;3202210012;WARNAJATI;4
469;3202180002;WARNASARI;4
470;3202120008;WARUNGKIARA;4
471;3202362001;SUKALARANG;4
472;3202442004;HEGARMULYA;4
